Topic,Title,Summary,URL,Revision ID
Education,List of countries by literacy rate,"This is a list of countries by literacy rate.
The global literacy rate for all people aged 15 and above is 86.3%. The global literacy rate for all males is 90.0%, and the rate for all females is 82.7%. The rate varies throughout the world, with developed nations having a rate of 99.2% (2013), South and West Asia having 70.2% (2015), and sub-Saharan Africa at 64.0% (2015). Over 75% of the world's 781 million illiterate adults are found in South Asia, West Asia, and sub-Saharan Africa, and women represent almost two-thirds of all illiterate adults globally.",https://en.wikipedia.org/wiki/List_of_countries_by_literacy_rate,1175597641
Education,Literature,"Literature is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially prose, fiction, drama, poetry, and including both print and digital writing. In recent centuries, the definition has expanded to include oral literature, also known as orature much of which has been transcribed. Literature is a method of recording, preserving, and transmitting knowledge and entertainment, and can also have a social, psychological, spiritual, or political role.
Literature, as an art form, can also include works in various non-fiction genres, such as biography, diaries, memoir, letters, and essays. Within its broad definition, literature includes non-fictional books, articles or other written information on a particular subject.Etymologically, the term derives from Latin literatura/litteratura ""learning, a writing, grammar"", originally ""writing formed with letters"", from litera/littera ""letter"". In spite of this, the term has also been applied to spoken or sung texts. Literature is often referred to synecdochically as ""writing"", especially creative writing, and poetically as ""the craft of writing"" (or simply ""the craft""). Syd Field described his discipline, screenwriting, as ""a craft that occasionally rises to the level of art.""Developments in print technology have allowed an ever-growing distribution and proliferation of written works, which now include electronic literature.

",https://en.wikipedia.org/wiki/Literature,1176132230
Education,Literacy in India,"Literacy in India is a key for social-economic progress. The 2011 census, indicated a 2001–2011 literacy growth of 97.2%, which is slower than the growth seen during the previous decade. An old analytical 1990 study estimated that it would take until 2060 for India to achieve universal literacy at then-current rate of progress.Census of India pegged the average literacy rate to be 73% in 2011 while National Statistical Commission surveyed literacy to be 77.7% in 2017–18. Literacy rate in urban areas was 87.7%, higher than rural areas with 73.5%. There is a wide gender disparity in the literacy rate in India and effective literacy rates (age 7 and above) was 84.7% for men and 70.3% for women. The low female literacy rate has a dramatically negative impact on family planning and population stabillisation efforts in India. Studies have indicated that female literacy is a strong predictor of the use of contraception among married Indian couples, even when women do not otherwise have economic independence. The census provided a positive indication that growth in female literacy rates (11.8%) was substantially faster than in male literacy rates (6.9%) in the 2001–2011 decadal period, which means the gender gap appears to be narrowing.Literacy involves a continuum of learning enabling individuals to achieve their goals, to develop their knowledge and potential, and to participate fully in their community and wider society.""The National Literacy Mission defines literacy as acquiring the skills of reading, writing and arithmetic and the ability to apply them to one's day-to-day life. The achievement of functional literacy implies (i) self-reliance in 3 R's, (ii) awareness of the causes of deprivation and the ability to move towards amelioration of their condition by participating in the process of development, (iii) acquiring skills to improve economic status and general well-being, and (iv) imbibing values such as national integration, conservation of the environment, women's equality, observance of small family norms.
The working definition of literacy in the Indian census since 1991 is as follows:
Literacy rate
Also called the ""effective literacy rate""; the total percentage of the population of an area at a particular time aged seven years or above who can read and write with understanding. Here the denominator is the population aged seven years or more.

  
    
      
        
          Effective literacy rate
        
        =
        
          
            number of literate persons aged 7 or above
            population aged 7 and above
          
        
        ×
        100
      
    
    {\displaystyle {\text{Effective literacy rate}}={\frac {\text{number of literate persons aged 7 or above}}{\text{population aged 7 and above}}}\times 100}
  
Crude literacy rate The total percentage of the people of an area at a particular time who can read and write with understanding, taking the total population of the area (including below seven years of age) as the denominator.

  
    
      
        
          Crude literacy rate
        
        =
        
          
            number of literate persons
            total population
          
        
        ×
        100
      
    
    {\displaystyle {\text{Crude literacy rate}}={\frac {\text{number of literate persons}}{\text{total population}}}\times 100}
  

",https://en.wikipedia.org/wiki/Literacy_in_India,1174082600
Education,Education in Pakistan,"Education in Pakistan is overseen by the Federal Ministry of Education and the provincial governments, while the federal government mostly assists in curriculum development, accreditation and the financing of research and development. Article 25-A of the Constitution of Pakistan obligates the state to provide free and compulsory quality education to children of the age group 5 to 16 years. ""The State shall provide free and compulsory education to all children of the age of five to sixteen years in such a manner as may be determined by law"".The education system in Pakistan is generally divided into six levels: preschool (for the age from 3 to 5 years), primary (years one to five), middle (years six to eight), secondary (years nine and ten, leading to the Secondary School Certificate or SSC), intermediate (years eleven and twelve, leading to a Higher Secondary School Certificate or HSSC), and university programs leading to undergraduate and graduate degrees. The Higher Education Commission established in 2002 is responsible for all universities and degree awarding institutes. It was established in 2002 with Atta-ur-Rahman as its Founding Chairman.Pakistan still has a low literacy rate relative to other countries. As of 2016 Pakistan's literacy rates range from 82% in Islamabad to 23% in the Torghar District. Literacy rates vary by gender and region. In tribal areas female literacy is 9.5%, while Azad Kashmir has a literacy rate of 74%. Pakistan's population of children not in school (22.8 million children) is the second largest in the world after Nigeria. According to the data, Pakistan faces a significant unemployment challenge, particularly among its educated youth, with over 31% of them being unemployed. Moreover, women account for 51% of the overall unemployed population, highlighting a gender disparity in employment opportunities. Pakistan produces about 445,000 university graduates and 25,000 to 30,000 computer science graduates per year As of 2021.",https://en.wikipedia.org/wiki/Education_in_Pakistan,1176209319
Education,Literacy in the United States,"Literacy in the United States was categorized by the National Center for Education Statistics into different literacy levels, with 92% of American adults having at least ""Level 1"" literacy in 2014.  Nationally, over 20% of adult Americans have a literacy proficiency at or below Level 1. Adults in this range have difficulty using or understanding print materials. Those on the higher end of this category can perform simple tasks based on the information they read, but adults below Level 1 may only understand very basic vocabulary or be functionally illiterate.  According to a 2020 report by the U.S. Department of Education, 54% of adults in the United States have English prose literacy below the 6th-grade level.In many nations, the ability to read a simple sentence suffices as literacy, and was the previous standard for the U.S. The definition of literacy has changed greatly; the term is presently defined as the ability to use printed and written information to function in society, to achieve one's goals, and to develop one's knowledge and potential.The United States Department of Education assesses literacy in the general population through its National Assessment of Adult Literacy (NAAL). The NAAL survey defines three types of literacy:
Prose: the knowledge and skills needed to search, comprehend, and use continuous texts. Examples include editorials, news stories, brochures, and instructional materials.
Document: the knowledge and skills needed to search, comprehend, and use non-continuous texts in various formats. Examples include job applications, payroll forms, transportation schedules, maps, tables, and drug and food labels.
Quantitative: the knowledge and skills required to identify and perform computations, either alone or sequentially, using numbers embedded in printed materials. Examples include balancing a checkbook, figuring out tips, completing an order form, or determining an amount.Modern jobs often demand a high literacy level, and its lack in adults and adolescents has been studied extensively.
According to a 1992 survey, about 40 million adults had Level 1 literary competency, the lowest level, comprising understanding only basic written instructions. A number of reports and studies are published annually to monitor the nation's status, and initiatives to improve literacy rates are funded by government and external sources.

",https://en.wikipedia.org/wiki/Literacy_in_the_United_States,1177042422
Education,Computer literacy,"Computer literacy is defined as the knowledge and ability to use computers and related technology efficiently, with skill levels ranging from elementary use to computer programming and advanced problem solving. Computer literacy can also refer to the comfort level someone has with using computer programs and applications. Another valuable component is understanding how computers work and operate. An individual's level of computer literacy is measured on the scale of how skilled they are when it comes to using computers and other related tools to achieve a goal. Computer literacy may be distinguished from computer programming, which primarily focuses on the design and coding of computer programs rather than the familiarity and skill in their use. Various countries, including the United Kingdom and the United States, have created initiatives to improve national computer literacy rates.",https://en.wikipedia.org/wiki/Computer_literacy,1176540430
Education,Rate (mathematics),"In mathematics, a rate is the quotient of two quantities in different units of measurement, often represented as a fraction. If the divisor (or fraction denominator) in the rate is equal to one expressed as a single unit, and if it is assumed that this quantity can be changed systematically (i.e., is an independent variable), then the dividend (the fraction numerator) of the rate expresses the corresponding rate of change in the other (dependent) variable.  
One common type of rate is ""per unit of time"", such as speed, heart rate, and flux. 
In fact, often rate is a synonym of rhythm or frequency, a count per second (i.e., hertz); e.g., radio frequencies, heart rates, or sample rates.
In describing the units of a rate, the word ""per"" is used to separate the units of the two measurements used to calculate the rate; for example, a heart rate is expressed as ""beats per minute"". 
Rates that have a non-time divisor or denominator include exchange rates, literacy rates, and electric field (in volts per meter).
A rate defined using two numbers of the same units will result in a dimensionless quantity, also known as ratio or simply as a rate (such as tax rates) or counts (such as literacy rate). Dimensionless rates can be expressed as a percentage (for example, the global literacy rate in 1998 was 80%), fraction, or multiple.",https://en.wikipedia.org/wiki/Rate_(mathematics),1172825052
Education,List of countries by literacy rate,"This is a list of countries by literacy rate.
The global literacy rate for all people aged 15 and above is 86.3%. The global literacy rate for all males is 90.0%, and the rate for all females is 82.7%. The rate varies throughout the world, with developed nations having a rate of 99.2% (2013), South and West Asia having 70.2% (2015), and sub-Saharan Africa at 64.0% (2015). Over 75% of the world's 781 million illiterate adults are found in South Asia, West Asia, and sub-Saharan Africa, and women represent almost two-thirds of all illiterate adults globally.",https://en.wikipedia.org/wiki/List_of_countries_by_literacy_rate,1175597641
Education,BIMARU states,"BIMARU (Hindi: बीमारू Bīmārū) is an acronym, coined by demographer Ashish Bose in mid-1980s, formed from the first letters of names of some of poorest Indian states, namely Bihar, Madhya Pradesh, Rajasthan, and Uttar Pradesh. BIMARU in Hindi, bīmār (बीमार), denotes ""sick"" states referring to the poor economic conditions of these states. BIMARU states are low on HDI & food security. The present-day states of Chhattisgarh, Jharkhand and Uttarakhand were part of Madhya Pradesh, Bihar and Uttar Pradesh, respectively, when the BIMARU acronym was coined. All of these are in Hindi Belt, which also has relatively richer non-BIMARU states, such as Haryana, Himachal Pradesh, Delhi, Chandigarh and Uttarakhand.Uttarakhand, after it was split from Uttar Pradesh and made a separate state, has made sufficient progress to get out of the BIMARU category. Rajasthan and Madhya Pradesh are next in order for coming out of BIMARU group but they still have a lot to do. Chhattisgarh falls in the middle category of Human Development Index. Bihar, Uttar Pradesh and Jharkhand are lagging behind. During 2008–2011, some of BIMARU states had higher growth rate and some of their natives argued that the BIMARU concept was outdated, but in reality these states have a low economic base and thus despite higher rate of growth they remain much poorer than other states. The concept has re-emerged due to the faltering growth rates of the states.BIMARU states are usually negative nett provider of the food security, i.e. they consume more food than they produce. Hence, these states are major consumer of India's PDS for food redistribution. Much smaller but richer states of Haryana & Punjab are the massive provider of food security to India as they provide 70-90% of wheat & 28-44% of rice of India's total PDS.",https://en.wikipedia.org/wiki/BIMARU_states,1170123092
Education,Demographics of Uttar Pradesh,"The demographics of Uttar Pradesh is a complex topic, which is undergoing dynamic change.  Uttar Pradesh is India's most populous state, and the largest subdivision in the world. It has a population of about 199,812,341 as per the 2011 census. If it were a separate country, Uttar Pradesh would be the world's fifth most populous nation, next only to China, India, the United States of America and Indonesia. Uttar Pradesh has a population more than that of Pakistan. There is an average population density of 828 persons per km² i.e. 2,146 per sq mi. The capital of Uttar Pradesh is Lucknow, and Prayagraj serves as the state’s judicial capital. Hindus and Muslims both consider the state as a holy place.
The peripheral regions of Uttar Pradesh, are home to a number of tribal communities such as Agaria, Baiga, Bhar, Bhoksa, Bind, Chero, Gond, Kol and Korwa.  Five of these tribal communities have been recognised by the Government of India as disadvantaged scheduled tribes, viz. Tharus, Boksas, Bhotias, Jaunswaris and Rajis. The Literacy rate of the state according to the 2011 Census is 70.69%. With the literacy rate for Males at 79.20%, while it is 59.30% for the Females. While this is still below the national average of 74.04% (82.14% for men, 65.16% for women) the rate of growth has been much higher in Uttar Pradesh as compared to the rest of India.",https://en.wikipedia.org/wiki/Demographics_of_Uttar_Pradesh,1174256582
