Topic,Title,Summary,URL,Revision ID
Entertainment,Music industry,"The music industry consists of the individuals and organizations that earn money by writing songs and musical compositions, creating and selling recorded music and sheet music, presenting concerts, as well as the organizations that aid, train, represent and supply music creators. Among the many individuals and organizations that operate in the industry are: the songwriters and composers who write songs and musical compositions; the singers, musicians, conductors, and bandleaders who perform the music; the record labels, music publishers, recording studios, music producers, audio engineers, retail and digital music stores, and performance rights organizations who create and sell recorded music and sheet music; and the booking agents, promoters, music venues, road crew, and audio engineers who help organize and sell concerts.
The industry also includes a range of professionals who assist singers and musicians with their music careers. These include talent managers, artists and repertoire managers, business managers, entertainment lawyers; those who broadcast audio or video music content (satellite, Internet radio stations, broadcast radio and TV stations); music journalists and music critics; DJs; music educators and teachers; manufacturers of musical instruments and music equipment; as well as many others. In addition to the businesses and artists there are organizations that also play an important role, including musician's unions (e.g. American Federation of Musicians), not-for-profit performance-rights organizations (e.g. American Society of Composers, Authors and Publishers) and other associations (e.g. International Alliance for Women in Music, a non-profit organization that advocates for women composers and musicians).
The modern Western music industry emerged between the 1930s and 1950s, when records replaced sheet music as the most important product in the music business. In the commercial world, ""the recording industry""—a reference to recording performances of songs and pieces and selling the recordings–began to be used as a loose synonym for ""the music industry"". In the 2000s, a majority of the music market is controlled by three major corporate labels: the French-owned Universal Music Group, the Japanese-owned Sony Music Entertainment, and the US-owned Warner Music Group. Labels outside of these three major labels are referred to as independent labels (or ""indies""). The largest portion of the live music market for concerts and tours is controlled by Live Nation, the largest promoter and music venue owner. Live Nation is a former subsidiary of iHeartMedia Inc, which is the largest owner of radio stations in the United States.
In the first decades of the 2000s, the music industry underwent drastic changes with the advent of widespread digital distribution of music via the Internet (which includes both illegal file sharing of songs and legal music purchases in online music stores). A conspicuous indicator of these changes is total music sales: since 2000, sales of recorded music have dropped off substantially while live music has increased in importance. In 2011, the largest recorded music retailer in the world was now a digital, Internet-based platform operated by a computer company: Apple Inc.'s online iTunes Store. Since 2011, the music industry has seen consistent sales growth with streaming now generating more revenue per year than digital downloads. Spotify, Apple Music, and Amazon Music are the largest streaming services by subscriber count.",https://en.wikipedia.org/wiki/Music_industry,1176347147
Entertainment,Indian Music Industry,"The Indian Music Industry (IMI) is a trust that represents the recording industry distributors in India. It was founded on February 28, 1936, as Indian Phonographic Industry (IPI). It is the 2nd oldest music industry organization in the world that was involved in protecting copyrights of music producers and supporting growth of music entertainment industry. In 1994, it was renamed as Indian Music Industry (IMI) and represented India at the International Federation of the Phonographic Industry (IFPI). It is also registered with the West Bengal Societies Registration Act. All major music labels in India are part of this association. Record companies like Saregama (HMV), Universal Music Group (India), Tips Industries, Sony Music India, Virgin Records, Magnasound Records, Aditya Music, Times Music, Zee Music Company and T-Series several other prominent international, national and regional labels are part of the IMI. The IMI represents over 75% of all legal music sales in India.
IMI has its registered office in Kolkata and Administrative office in Mumbai. It also has offices in New Delhi, Chennai, Bangalore, Hyderabad and other major Indian cities working on the protection of rights of music producers and preventing music piracy. It has also been instrumental in launching the IMMIES music awards in collaboration with MTV.
The Indian music industry is largely dominated by Indian film soundtracks, which account for nearly 80% of the country's music revenue, followed by Indi-pop. As of 2014, the largest Indian music record label is T-Series with up to 35% share of the Indian market, followed by Sony Music India (the largest foreign-owned label) with up to 25% share, and then Zee Music Company (which has a partnership with Sony). As of 2017, 216 million Indians use music streaming services such as YouTube, Hungama, Gaana and JioSaavn. T-Series has the world's most-subscribed and most-viewed YouTube channel.",https://en.wikipedia.org/wiki/Indian_Music_Industry,1136041672
Entertainment,Bomb the Music Industry!,"Bomb the Music Industry! (commonly abbreviated as Bomb or BtMI!) was an American punk rock musical collective from Baldwin, Nassau County, New York, United States, led by singer-songwriter, producer, and multi-instrumentalist Jeff Rosenstock.The band was known for their DIY punk ethic and commitment to accessibility. In addition to distributing their music via a pay what you want model, they primarily played affordable all-ages shows and established an accessible and collaborative environment for fans. Due to these factors, the collective has been referred to as ""the Fugazi for the internet age of punk.""While the group's structure remained loose throughout its history, with their roster varying significantly between performances, a core five-piece lineup gradually coalesced around Jeff Rosenstock, John DeDominici, Mike Costa, Tom Malinowski, and Matt Keegan, although they continued to be frequently joined by other collaborators. In 2012, the band announced an indefinite hiatus, playing their final show in Brooklyn in 2014.",https://en.wikipedia.org/wiki/Bomb_the_Music_Industry!,1175905774
Entertainment,Christian music industry,"The Christian music industry is one aspect of the broader music industry, with a focus on Christian music and subgenres such as gospel music, southern gospel, contemporary Christian music, contemporary worship music, and even traditional church music. It is sometimes called the gospel music industry, a narrower term that does not encompass all the musical genres included here.
Like its broader category, the Christian music industry consists of individuals and organizations that earn money through writing songs, producing recorded music, presenting concerts, and performances on Christian radio. The Christian market also includes some unique aspects, such as hymnal production and church music licensed for congregational singing.
From its roots in the 1920s, the developing Christian music industry exhibited unique tensions between religious, musical, and commercial goals. While it was subject to the same economic and market forces as the entire music industry, the Christian subgenre was also subject to different aesthetic and social boundaries. This was often expressed as a tension between “secular” and “sacred” ideals. Recent scholarship explores why Christian music remained marginal to the general market, was largely critiqued by mainstream media, and was often criticized for being derivative.",https://en.wikipedia.org/wiki/Christian_music_industry,1155979252
Entertainment,Recording Industry Association of America,"The Recording Industry Association of America (RIAA) is a trade organization that represents the music recording industry in the United States. Its members consist of record labels and distributors that the RIAA says ""create, manufacture, and/or distribute approximately 85% of all legally sold recorded music in the United States"". RIAA is headquartered in Washington, D.C.RIAA was formed in 1952. Its original mission was to administer recording copyright fees and problems, work with trade unions, and do research relating to the record industry and government regulations. Early RIAA standards included the RIAA equalization curve, the format of the stereophonic record groove and the dimensions of 33 1/3, 45, and 78 rpm records.RIAA says its current mission includes:
to protect intellectual property rights and the First Amendment rights of artists
to perform research about the music industry
to monitor and review relevant laws, regulations, and policiesBetween 2001 and 2020, RIAA spent between $2.4 million and $6.5 million annually on lobbying in the United States. RIAA also participates in the collective rights management of sound recordings, and it is responsible for certifying gold and platinum albums and singles in the United States.",https://en.wikipedia.org/wiki/Recording_Industry_Association_of_America,1171887484
Entertainment,List of largest recorded music markets,"The world's largest recorded music markets are listed annually by the International Federation of the Phonographic Industry (IFPI). The ranking is based on retail value (rather than units) each market generates respectively per year; retail value generated by each market varies from year to year. As all financial data is given in US dollars, annual rates of change for all countries other than the United States are heavily influenced by exchange rate fluctuations, as well as by actual changes in revenue in local currency terms.
The information presented in this page only accounts for revenue generated from the recorded music industry (recorded music and auxiliary revenues generated by these recordings), and is not reflective of the entirety of the music industry, including sectors such as publishing, live music, etc.
The United States has remained the biggest market for recorded music in IFPI history, except in 2010 when Japan topped the list. The largest Asian music market, Japan has always stayed within the top two. The other largest music markets by region include the United Kingdom in Europe, Australia in Oceania, and Brazil in South America. Meanwhile, Germany, France, and Canada have consistently appeared among the top ten music markets in IFPI history. Other countries historically having appeared in the top ten include Italy, Netherlands, South Korea, Spain, China, Russia, and Mexico.",https://en.wikipedia.org/wiki/List_of_largest_recorded_music_markets,1171569298
Entertainment,2000s in the music industry,"In the first decade of the 21st century, the rise of digital media on the internet and computers as a central and primary means to record, distribute, store, and play music caused widespread economic changes in the music industry. The rise of digital media with high-speed internet access fundamentally changed the relationships between artists, record companies, promoters, retail music stores, the technology industry, and consumers. The rise of digital music consumption options contributed to several fundamental changes in consumption. One significant change in the music industry was the remarkable decline of conventional album sales on CD and vinyl. With the à la carte sales models increasing in popularity, consumers no longer downloaded entire albums but rather chose single songs.
The initial stage (from approximately 1998 to 2001) of the digital music revolution was the emergence of peer-to-peer (P2P) networks that allowed the free exchange of music files (such as Kazaa and Napster). By 2001, the cost of hard drive space had dropped to a level that allowed pocket-sized computers to store large libraries of music. The iPod and iTunes system for music storage and playback became immensely popular, and many consumers began to transfer their physical recording media (such as CDs) onto computer hard drives. The iTunes Music Store offered legal downloads beginning in 2003, and competitors soon followed, offering a variety of online music services, such as internet radio. Digital music distribution was aided by the widespread acceptance of broadband in the middle of the decade. At the same time, recording software (such as Avid's Pro Tools) began to be used almost exclusively to make records, rendering expensive multitrack tape machines (such as the 1967 Studer) almost obsolete.
The chief economic impact of these changes was a dramatic decline in revenues from recorded music. In the 21st century, consumers spent far less money on recorded music than they had in 1990s, in all formats. Total revenues for CDs, vinyl, cassettes and digital downloads in the U.S. dropped from a high of $14.6 billion in 1999 to $9 billion in 2008. The popularity of internet music distribution had increased and by 2007 more units were sold over the internet than in any other form.
However, as The Economist reported, ""paid digital downloads grew rapidly, but did not begin to make up for the loss of revenue from CDs.""
The 2000s period stands in stark contrast from the ""CD boom"" of 1984–1995, when profit margins averaged above 30% and industry executives were notorious for their high profile, even frivolous spending. The major record labels consistently failed to heed warnings or to support any measures that embraced the change in technology. In the early years of the decade, the industry fought illegal file sharing, successfully shutting down Napster in 2001 and threatening thousands of individuals with legal action. This failed to slow the decline in revenue and was a public relations disaster. Some academic studies had even suggested that downloads were not the true cause of the decline.The turmoil in the industry changed the balance of power among all the various players. The major music-only stores such as Tower Records (which once wielded considerable influence in the industry) went bankrupt in 2006, replaced by box stores (such as Wal-Mart and Best Buy). Recording artists began to rely primarily on live performances and merchandise for their income, which in turn made them more dependent on music promoters such as Live Nation (which dominates tour promotion and owns a large number of music venues.)
In order to benefit from all of an artist's income streams, record companies began to rely on the ""360 deal"", a new business relationship pioneered by Robbie Williams and EMI in 2007.
At the other extreme, record companies also used simple manufacturing and distribution deals, which gives a higher percentage to the artist, but does not cover the expense of marketing and promotion. Many newer artists no longer see any kind of ""record deal"" as an integral part of their business plan at all. Inexpensive recording hardware and software made it possible to create high quality music in a bedroom and distribute it over the internet to a worldwide audience.
This, in turn, caused problems for recording studios, record producers and audio engineers: the Los Angeles Times reported that, by 2009, as many as half of the recording facilities in that city had failed.
Consumers benefited enormously from the ease with which music can be shared from computer to computer, whether over the internet or by the exchange of physical CDs. This has given consumers unparalleled choice in music consumption and has opened up performers to niche markets to which they previously had little access. According to a Nielsen and Billboard report, in 2012 digital music sales topped the physical sale of music.",https://en.wikipedia.org/wiki/2000s_in_the_music_industry,1137992120
Entertainment,Music industry of Asia,"The music industry of Asia is an industry in which people sell music-related products to earn money. The business structures of the industry include recorded music, live music, radio broadcasting, and digital and online distribution. The Asian music industry consists of music industry of Central Asia, East Asia, North Asia, South Asia, Southeast Asia, and West Asia. The music industry of Asia influences Asian culture and economy. The music industry of Asia also has a worldwide impact.",https://en.wikipedia.org/wiki/Music_industry_of_Asia,1154436062
Entertainment,Deletion (music industry),"Deletion is a music industry term referring to the removal of a record or records from a label's official catalog, so that it is out of print. This is usually done when a title becomes unprofitable to manufacture, but it may also occur at a  record artist's request.",https://en.wikipedia.org/wiki/Deletion_(music_industry),1167988501
Entertainment,Music of the United Kingdom,"Throughout the history of the British Isles, the United Kingdom has been a major music producer, drawing inspiration from Church Music.
Traditional folk music, using instruments from England, Scotland, Northern Ireland, and Wales. Each of the four countries of the United Kingdom has its own diverse and distinctive folk music forms, which flourished until the era of industrialisation when they began to be replaced by new forms of popular music, including music hall and brass bands. Many British musicians have influenced modern music on a global scale, and the UK has one of the world's largest music industries. English, Scottish, Irish, and Welsh folk music as well as other British styles of music heavily influenced American music such as American folk music, American march music, old-time, ragtime, blues, country, and bluegrass. The UK has birthed many popular music genres such as beat music, psychedelic music, progressive rock/pop, heavy metal, new wave, and industrial music.
In the 20th century, influences from the music of the United States, including blues, jazz, and rock and roll, were adopted in the United Kingdom. The ""British Invasion""—spearheaded by Liverpool band the Beatles, often regarded as the most influential band of all time—saw British rock bands become highly influential around the world in the 1960s and 1970s. Pop music, a term which originated in Britain in the mid-1950s as a description for ""rock and roll and the new youth music styles that it influenced"", was developed by British artists like the Beatles and the Rolling Stones, whom among other British musicians led rock and roll's transition into rock music.",https://en.wikipedia.org/wiki/Music_of_the_United_Kingdom,1158239953
