Topic,Title,Summary,URL,Revision ID
Environment,Climate change,"In common usage, climate change describes global warming—the ongoing increase in global average temperature—and its effects on Earth's climate system. Climate change in a broader sense also includes previous long-term changes to Earth's climate. The current rise in global average temperature is more rapid than previous changes, and is primarily caused by humans burning fossil fuels. Fossil fuel use, deforestation, and some agricultural and industrial practices increase greenhouse gases, notably carbon dioxide and methane. Greenhouse gases absorb some of the heat that the Earth radiates after it warms from sunlight. Larger amounts of these gases trap more heat in Earth's lower atmosphere, causing global warming.
Climate change is causing a range of increasing impacts on the environment. Deserts are expanding, while heat waves and wildfires are becoming more common. Amplified warming in the Arctic has contributed to melting permafrost, glacial retreat and sea ice loss. Higher temperatures are also causing more intense storms, droughts, and other weather extremes. Rapid environmental change in mountains, coral reefs, and the Arctic is forcing many species to relocate or become extinct. Even if efforts to minimise future warming are successful, some effects will continue for centuries. These include ocean heating, ocean acidification and sea level rise.Climate change threatens people with increased flooding, extreme heat, increased food and water scarcity, more disease, and economic loss. Human migration and conflict can also be a result. The World Health Organization (WHO) calls climate change the greatest threat to global health in the 21st century. Adapting to climate change through efforts like flood control measures or drought-resistant crops partially reduces climate change risks, although some limits to adaptation have already been reached. Poorer communities are responsible for a small share of global emissions, yet have the least ability to adapt and are most vulnerable to climate change. The expense, time required, and limits of adaptation mean its success hinges on limiting global warming.

Many climate change impacts are already felt at the current 1.2 °C (2.2 °F) level of warming. Additional warming will increase these impacts and can trigger tipping points, such as the melting of the Greenland ice sheet. Under the 2015 Paris Agreement, nations collectively agreed to keep warming ""well under 2 °C"". However, with pledges made under the Agreement, global warming would still reach about 2.7 °C (4.9 °F) by the end of the century. Limiting warming to 1.5 °C will require halving emissions by 2030 and achieving net-zero emissions by 2050.Reducing emissions requires reducing energy use and generating electricity from low-carbon sources rather than burning fossil fuels. This change includes phasing out coal and natural gas fired power plants while vastly increasing electricity generated from wind, solar, and nuclear power. This electricity will need to replace fossil fuels for powering transportation, heating buildings, and operating industrial facilities. Carbon can also be removed from the atmosphere, for instance by increasing forest cover and farming with methods that capture carbon in soil.

",https://en.wikipedia.org/wiki/Climate_change,1177062624
Environment,Global warming controversy,"The global warming controversy concerns the public debate over whether global warming is occurring, how much has occurred in modern times, what has caused it, what its effects will be, whether any action can or should be taken to curb it, and if so what that action should be. In the scientific literature, there is a very strong consensus that global surface temperatures have increased in recent decades and that the trend is caused by human-induced emissions of greenhouse gases. No scientific body of national or international standing disagrees with this view, though a few organizations with members in extractive industries hold non-committal positions, and some have tried to persuade the public that climate change is not happening, or if the climate is changing it is not because of human influence, attempting to sow doubt in the scientific consensus.As of 2022 the U.S. National Oceanic and Atmospheric Administration says the global yearly average temperature has been warming at rate of 0.18 °C (0.32 °F) per decade since 1981.The controversy is, by now, political rather than scientific: there is a scientific consensus that global warming is happening and is caused by human activity. Disputes over the key scientific facts of global warming are more prevalent in the media than in the scientific literature, where such issues are treated as resolved, and such disputes are more prevalent in the United States and Australia than globally.Political and popular debate concerning the existence and cause of global warming includes the reasons for the increase seen in the instrumental temperature record, whether the warming trend exceeds normal climatic variations, and whether human activities have contributed significantly to it. Scientists have answered these questions decisively in favor of the view that the current warming trend exists and is ongoing, that human activity is the cause, and that it is without precedent in at least 2000 years. Public disputes that also reflect scientific debate include estimates of how responsive the climate system might be to any given level of greenhouse gases (climate sensitivity), how the climate will change at local and regional scales, and what the consequences of global warming will be.
Global warming remains an issue of widespread political debate, often split along party political lines, especially in the United States. Many of the issues that are settled within the scientific community, such as human responsibility for global warming, remain the subject of politically or economically motivated attempts to downplay, dismiss or deny them—an ideological phenomenon categorized by academics and scientists as climate change denial. The sources of funding for those involved with climate science opposing mainstream scientific positions have been questioned. There are debates about the best policy responses to the science, their cost-effectiveness and their urgency. Climate scientists, especially in the United States, have reported government and oil-industry pressure to censor or suppress their work and hide scientific data, with directives not to discuss the subject in public communications. Legal cases regarding global warming, its effects, and measures to reduce it have reached American courts. The fossil fuels lobby has been identified as overtly or covertly supporting efforts to undermine or discredit the scientific consensus on global warming.",https://en.wikipedia.org/wiki/Global_warming_controversy,1177078370
Environment,Effects of climate change,"Climate change affects the physical environment, ecosystems and human societies. Changes in the climate system include an overall warming trend, more extreme weather and rising sea levels. These in turn impact nature and wildlife, as well as human settlements and societies. The effects of human-caused climate change are broad and far-reaching. This is especially so if there is no significant climate action. Experts sometimes describe the projected and observed negative impacts of climate change as the climate crisis.
The changes in climate are not uniform across the Earth. In particular, most land areas have warmed faster than most ocean areas. The Arctic is warming faster than most other regions. There are many effects of climate change on oceans. These include an increase in ocean temperatures, a rise in sea level from ocean warming and ice sheet melting. They include increased ocean stratification. They also include changes to ocean currents including a weakening of the Atlantic meridional overturning circulation.: 10  Carbon dioxide from the atmosphere is acidifiying the ocean.Recent warming has had a big effect on natural biological systems. It has degraded land by raising temperatures, drying soils and increasing wildfire risk.: 9  Species all over the world are migrating towards the poles to colder areas. On land, many species move to higher ground, whereas marine species seek colder water at greater depths. At 2 °C (3.6 °F) of warming, around 10% of species on land would become critically endangered.: 259 Food security and access to fresh water are at risk due to rising temperatures. Climate change has profound impacts on human health. These can be direct impacts via heat stress. They can be indirect changes via the spread of infectious diseases. Humans are vulnerable and exposed to climate change in different ways. This varies by economic sector and by country. Wealthy industrialised countries, which have emitted the most CO2, have more resources. So they are the least vulnerable to global warming. Climate change affects many economic sectors. They include agriculture, fisheries, forestry, energy, insurance, and tourism. Some groups may be particularly at risk from climate change, such as the poor, women, children and indigenous peoples. Climate change can lead to displacement and changes in migration flows.",https://en.wikipedia.org/wiki/Effects_of_climate_change,1177076402
Environment,Climate change denial,"Climate change denial (also global warming denial or climate denial) is the pseudoscientific dismissal or unwarranted doubt that contradicts the scientific consensus on climate change. Those promoting denial commonly use rhetorical tactics to give the appearance of a scientific controversy where there is none.Climate change denial includes doubts to the extent of how much climate change is caused by humans, its effects on nature and human society, and the potential of adaptation to global warming by human actions. To a lesser extent, climate change denial can also be implicit when people accept the science but fail to reconcile it with their belief or action. Several social science studies have analyzed these positions as forms of denialism, pseudoscience, or propaganda.The conspiracy to undermine public trust in climate science is organized by industrial, political and ideological interests. Climate change denial has been associated with the fossil fuels lobby, the Koch brothers, industry advocates, ultraconservative think tanks and ultraconservative alternative media, often in the United States. More than 90% of papers that are skeptical on climate change originate from right-wing think tanks. Climate change denial is undermining the efforts to act on or adapt to climate change, and exerts a powerful influence on politics of global warming and the manufactured global warming controversy.In the 1970s, oil companies published research which broadly concurred with the scientific community's view on global warming. Since then, for several decades, oil companies have been organizing a widespread and systematic climate change denial campaign to seed public disinformation, a strategy that has been compared to the organized denial of the hazards of tobacco smoking by the tobacco industry. Some of the campaigns are even carried out by the same individuals who previously spread the tobacco industry's denialist propaganda.",https://en.wikipedia.org/wiki/Climate_change_denial,1177130351
Environment,Scientific consensus on climate change,"There is a strong scientific consensus that the Earth is warming and that this warming is mainly caused by human activities. This consensus is supported by various studies of scientists' opinions and by position statements of scientific organizations, many of which explicitly agree with the Intergovernmental Panel on Climate Change (IPCC) synthesis reports.
Nearly all actively publishing climate scientists say humans are causing climate change. Surveys of the scientific literature are another way to measure scientific consensus. A 2019 review of scientific papers found the consensus on the cause of climate change to be at 100%, and a 2021 study concluded that over 99% of scientific papers agree on the human cause of climate change. The small percentage of papers that disagreed with the consensus often contain errors or cannot be replicated.

",https://en.wikipedia.org/wiki/Scientific_consensus_on_climate_change,1175925027
Environment,Global warming potential,"Global warming potential (GWP) is a measure of how much infrared thermal radiation a greenhouse gas added to the atmosphere would absorb over a given time frame, as a multiple of the radiation that would be absorbed by the same mass of added carbon dioxide (CO2). GWP is 1 for CO2. For other gases it depends on how strongly the gas absorbs infrared thermal radiation, how quickly the gas leaves the atmosphere, and the time frame being considered. The carbon dioxide equivalent (CO2e or CO2eq or CO2-e) is calculated from GWP. For any gas, it is the mass of CO2 that would warm the earth as much as the mass of that gas. Thus it provides a common scale for measuring the climate effects of different gases. It is calculated as GWP times mass of the other gas.
Methane has GWP (over 20 years) of 81.2 meaning that, for example, a leak of a tonne of methane is equivalent to emitting 81.2 tonnes of carbon dioxide. Similarly a tonne of nitrous oxide, from manure or paddy fields for example, is equivalent to 273 tonnes of carbon dioxide.: 7SM-24 ",https://en.wikipedia.org/wiki/Global_warming_potential,1172496178
Environment,Climate change mitigation,"Climate change mitigation is action to limit climate change by reducing emissions of greenhouse gases or removing those gases from the atmosphere.: 2239  The recent rise in global average temperature is mostly due to emissions from burning fossil fuels such as coal, oil, and natural gas. Mitigation can reduce emissions by transitioning to sustainable energy sources, conserving energy, and increasing efficiency. It is possible to remove carbon dioxide (CO2) from the atmosphere by enlarging forests, restoring wetlands and using other natural and technical processes. Experts call these processes carbon sequestration.: 12  Governments and companies have pledged to reduce emissions to prevent dangerous climate change in line with international negotiations to limit warming by reducing emissions.
Solar energy and wind power have the greatest potential for mitigation at the lowest cost compared to a range of other options. The availability of sunshine and wind is variable. But it is possible to deal with this through energy storage and improved electrical grids. These include long-distance electricity transmission, demand management and diversification of renewables.: 1  It is possible to reduce emissions from infrastructure that directly burns fossil fuels, such as vehicles and heating appliances, by electrifying the infrastructure. If the electricity comes from renewable sources instead of fossil fuels this will reduce emissions. Using heat pumps and electric vehicles can improve energy efficiency. If industrial processes must create carbon dioxide, carbon capture and storage can reduce net emissions.Greenhouse gas emissions from agriculture include methane as well as nitrous oxide. It is possible to cut emissions from agriculture by reducing food waste, switching to a more plant-based diet, by protecting ecosystems and by improving farming processes.: XXV  Changing energy sources, industrial processes and farming methods can reduce emissions. So can changes in demand, for instance in diets or the way we build and travel in cities.
Climate change mitigation policies include: carbon pricing by carbon taxes and carbon emission trading, easing regulations for renewable energy deployment,  reductions of fossil fuel subsidies, and divestment from fossil fuels, and subsidies for clean energy. Current policies are estimated to produce global warming of about 2.7 °C by 2100. This warming is significantly above the 2015 Paris Agreement's goal of limiting global warming to well below 2 °C and preferably to 1.5 °C. Globally, limiting warming to 2 °C may result in higher economic benefits than economic costs.",https://en.wikipedia.org/wiki/Climate_change_mitigation,1176530118
Environment,Effects of climate change on agriculture,"The effects of climate change on agriculture can result in lower crop yields and nutritional quality due to drought, heat waves and flooding as well as increases in pests and plant diseases. Climate change impacts are making it harder for agricultural activities to meet human needs.: 717  The effects are unevenly distributed across the world and are caused by changes in temperature, precipitation and atmospheric carbon dioxide levels due to global climate change. In 2019, millions were already suffering from food insecurity due to climate change. Further, the predicted decline in global crop production is 2% – 6% with each decade. In 2019 it was predicted that food prices would rise by 80% by 2050. This will likely lead to increased food insecurity, disproportionally affecting poorer communities. A 2021 study estimated that the severity of heatwave and drought impacts on crop production tripled over the last 50 years in Europe – from losses of 2.2% during 1964–1990 to losses of 7.3% in 1991–2015.Direct impacts from changing weather patterns are caused by rising temperatures, heat waves and changes in rainfall (including droughts and floods). Increased atmospheric CO2 levels has led to higher crop yields (due to CO2 fertilization) but has also resulted in reduced nutritional value of crops (lower levels of micronutrients). Climate driven changes in pests, plant diseases and weeds can also result in lower crop yields and nutritional value. Losses of agricultural land due to sea level rise is an indirect result of climate change. However, more arable land may become available as frozen land thaws, though melting glaciers which could result in less irrigation water being available. Other impacts include erosion and changes in soil fertility and the length of growing seasons. Negative impacts on food safety and losses caused by fungi, leading to mycotoxins, and bacteria, like Salmonella, increase as the climate warms; this is an additional financial burden. Water scarcity – including disturbances of terrestrial precipitation, evaporation and soil moisture – caused or worsened by climate change can have substantial negative impacts on agriculture.
A range of measures for climate change adaptation may reduce the risk of negative climate change impacts on agriculture. Those measures include changes in management practices, agricultural innovation, institutional changes, and climate-smart agriculture.: 513  To create a sustainable food system, these measures are considered as essential as changes needed to reduce global warming in general.",https://en.wikipedia.org/wiki/Effects_of_climate_change_on_agriculture,1174314600
Environment,Global warming hiatus,"A global warming hiatus, also sometimes referred to as a global warming pause or a global warming slowdown, is a period of relatively little change in globally averaged surface temperatures. In the current episode of global warming many such 15-year periods appear in the surface temperature record, along with robust evidence of the long-term warming trend. Such a ""hiatus"" is shorter than the 30-year periods that climate is classically averaged over.Publicity has surrounded claims of a global warming hiatus during the period 1998–2013.  The exceptionally warm El Niño year of 1998 was an outlier from the continuing temperature trend, and so subsequent annual temperatures gave the appearance of a hiatus: by January 2006, it appeared to some that global warming had stopped or paused. A 2009 study showed that decades without warming were not exceptional, and in 2011 a study showed that if allowances were made for known variability, the rising temperature trend continued unabated. There was increased public interest in 2013 in the run-up to publication of the IPCC Fifth Assessment Report, and despite concerns that a 15-year period was too short to determine a meaningful trend, the IPCC included a section on a hiatus, which it defined as a much smaller increasing linear trend over the 15 years from 1998 to 2012, than over the 60 years from 1951 to 2012. Various studies examined possible causes of the short-term slowdown. Even though the overall climate system has continued to accumulate energy due to Earth's positive energy budget, the available temperature readings at the Earth's surface indicate slower rates of increase in surface warming than in the prior decade.  Since measurements at the top of the atmosphere show that Earth is receiving more energy than it is radiating back into space, the retained energy should be producing warming in the Earth's climate system.Research reported in July 2015 on an updated NOAA dataset casts doubt on the existence of a hiatus, and it finds no indication of a slowdown even in earlier years. Scientists working on other datasets welcomed this study, though they have expressed the view that the recent warming trend was less than in previous periods of the same length. Subsequently, a detailed study supports the conclusion that warming is continuing, but it also find there was less warming between 2001 and 2010 than climate models had predicted, and that this slowdown might be attributed to short-term variations in the Pacific decadal oscillation (PDO), which was negative during that period. Another review finds ""no substantive evidence"" of a pause in global warming. A statistical study of global temperature data since 1970 concludes that the term ""hiatus"" or ""pause"" is not justified. Some climate scientists, however, have questioned the claim that the hiatus is not supported by evidence, arguing that the recent corrections in data do not negate the existence of a hiatus.Independent of these discussions about data and measurements for earlier years, 2015 turned out to be much warmer than any of the earlier years, already before El Niño conditions started. The warmth of 2015 largely ended any remaining scientific credibility of claims that the supposed ""hiatus"" since 1998 had any significance for the long-term warming trend, and 2016 was even slightly warmer. In January 2017, a study published in the journal Science Advances cast further doubt on the existence of a recent pause, with more evidence that ocean temperatures have been underestimated. An April 2017 study found the data consistent with a steady warming trend globally since the 1970s, with fluctuations within the expected range of short term variability. A November 2017 joint study by scientists at the University of Fairbanks and Beijing University found that when missing data from the rapidly warming Arctic were interpolated and included in global temperature averages, the so-called hiatus disappeared entirely.",https://en.wikipedia.org/wiki/Global_warming_hiatus,1170968489
Environment,Global Warming (Pitbull album),"Global Warming is the seventh studio album recorded by Cuban-American rapper Pitbull. It was released on November 16, 2012 through Mr. 305, Polo Grounds and RCA Records. A teaser for the release was first released onto Pitbull's official Facebook and YouTube channel on September 17, 2012. The production on the album was handled by multiple producers including Afrojack, Sir Nolan, DJ Buddha, Adam Messinger and Nasri. The album also features guest appearances by Christina Aguilera, Usher, Kesha, Chris Brown, Enrique Iglesias, Jennifer Lopez and Shakira among others.
Global Warming was supported by four singles: ""Don't Stop the Party"", ""Get It Started"", ""Feel This Moment"" and  ""Back in Time"" which was the theme to the 2012 film ""Men In Black 3"". The album received generally positive reviews from music critics and was a commercial success. It debuted at number 14 on the US Billboard 200, selling 64,000 copies in its first week. It was also certified double platinum by the Recording Industry Association of America (RIAA) in October 2020.",https://en.wikipedia.org/wiki/Global_Warming_(Pitbull_album),1175299225
