Topic,Title,Summary,URL,Revision ID
Food,Genetically modified crops,"Genetically modified crops (GM crops) are plants used in agriculture, the DNA of which has been modified using genetic engineering methods. Plant genomes can be engineered by physical methods or by use of Agrobacterium for the delivery of sequences hosted in T-DNA binary vectors. In most cases, the aim is to introduce a new trait to the plant which does not occur naturally in the species. Examples in food crops include resistance to certain pests, diseases, environmental conditions, reduction of spoilage, resistance to chemical treatments (e.g. resistance to a herbicide), or improving the nutrient profile of the crop. Examples in non-food crops include production of pharmaceutical agents, biofuels, and other industrially useful goods, as well as for bioremediation.Farmers have widely adopted GM technology. Acreage increased from 1.7 million hectares in 1996 to 185.1 million hectares in 2016, some 12% of global cropland. As of 2016, major crop (soybean, maize, canola and cotton) traits consist of herbicide tolerance (95.9 million hectares) insect resistance (25.2 million hectares), or both (58.5 million hectares). In 2015, 53.6 million ha of Genetically modified maize were under cultivation (almost 1/3 of the maize crop). GM maize outperformed its predecessors: yield was 5.6 to 24.5% higher with less mycotoxins (−28.8%), fumonisin (−30.6%) and thricotecens (−36.5%). Non-target organisms were unaffected, except for Braconidae, represented by a parasitoid of European corn borer, the target of Lepidoptera active Bt maize. Biogeochemical parameters such as lignin content did not vary, while biomass decomposition was higher.A 2014 meta-analysis concluded that GM technology adoption had reduced chemical pesticide use by 37%, increased crop yields by 22%, and increased farmer profits by 68%. This reduction in pesticide use has been ecologically beneficial, but benefits may be reduced by overuse. Yield gains and pesticide reductions are larger for insect-resistant crops than for herbicide-tolerant crops. Yield and profit gains are higher in developing countries than in developed countries. Pesticide poisonings were reduced by 2.4 to 9  million cases per year in India alone and widespread introduction of Bt cotton led to 25% decline in farmer suicides in India. A 2011 review of the relationship between Bt cotton adoption and farmer suicides in India found that ""Available data show no evidence of a 'resurgence' of farmer suicides"" and that ""Bt cotton technology has been very effective overall in India.""There is a scientific consensus that currently available food derived from GM crops poses no greater risk to human health than conventional food, but that each GM food needs to be tested on a case-by-case basis before introduction. Nonetheless, members of the public are much less likely than scientists to perceive GM foods as safe. The legal and regulatory status of GM foods varies by country, with some nations banning or restricting them, and others permitting them with widely differing degrees of regulation.However, opponents have objected to GM crops on grounds including environmental impacts, food safety, whether GM crops are needed to address food needs, whether they are sufficiently accessible to farmers in developing countries and concerns over subjecting crops to intellectual property law. Safety concerns led 38 countries, including 19 in Europe, to officially prohibit their cultivation.",https://en.wikipedia.org/wiki/Genetically_modified_crops,1171816344
Food,Crown,"A crown is a traditional form of head adornment, or hat, worn by monarchs as a symbol of their power and dignity. A crown is often, by extension, a symbol of the monarch's government or items endorsed by it. The word itself is used, particularly in Commonwealth countries, as an abstract name for the monarchy itself, as distinct from the individual who inhabits it (that is, The Crown). A specific type of crown (or coronet for lower ranks of peerage) is employed in heraldry under strict rules. Indeed, some monarchies never had a physical crown, just a heraldic representation, as in the constitutional kingdom of Belgium.",https://en.wikipedia.org/wiki/Crown,1173152661
Food,Cash crop,"A cash crop, also called profit crop, is an agricultural crop which is grown to sell for profit. It is typically purchased by parties separate from a farm. The term is used to differentiate marketed crops from staple crop (""subsistence crop"") in subsistence agriculture, which are those fed to the producer's own livestock or grown as food for the producer's family.
In earlier times, cash crops were usually only a small (but vital) part of a farm's total yield, while today, especially in developed countries and among smallholders almost all crops are mainly grown for revenue. In the least developed countries, cash crops are usually crops which attract demand in more developed nations, and hence have some export value.
Prices for major cash crops are set in international trade markets with global scope, with some local variation (termed as ""basis"") based on freight costs and local supply and demand balance. A consequence of this is that a nation, region, or individual producer relying on such a crop may suffer low prices should a bumper crop elsewhere lead to excess supply on the global markets. This system has been criticized by traditional farmers. Coffee is an example of a product that has been susceptible to significant commodity futures price variations.",https://en.wikipedia.org/wiki/Cash_crop,1173873026
Food,Crop factor,"In digital photography, the crop factor, format factor, or focal length multiplier of an image sensor format is the ratio of the dimensions of a camera's imaging area compared to a reference format; most often, this term is applied to digital cameras, relative to 35 mm film format as a reference. In the case of digital cameras, the imaging device would be a digital image sensor. The most commonly used definition of crop factor is the ratio of a 35 mm frame's diagonal (43.3 mm) to the diagonal of the image sensor in question; that is, 
  
    
      
        
          CF
        
        =
        
          
            diag
          
          
            35
            
              mm
            
          
        
        
          /
        
        
          
            diag
          
          
            sensor
          
        
      
    
    {\displaystyle {\text{CF}}={\text{diag}}_{35{\text{mm}}}/{\text{diag}}_{\text{sensor}}}
  . Given the same 3:2 aspect ratio as 35mm's 36 mm × 24 mm area, this is equivalent to the ratio of heights or ratio of widths; the ratio of sensor areas is the square of the crop factor.
The crop factor is sometimes used to compare the field of 
view and image quality of different cameras with the same lens. The crop factor is sometimes referred to as the focal length multiplier (""Film"") since multiplying a 
lens focal length by the crop factor gives the focal length of a lens that would yield the same field of view if used on the reference format.  For example, a lens with a 50 mm focal length on an imaging area with a crop factor of 1.6 with respect to the reference format (usually 35 mm) will yield the same field of view that a lens with an 80 mm focal length will yield on the reference format. If it is desired to capture an image with the same field of view and image quality but different cameras, the aperture and ISO settings also need to be adjusted with respect to the crop factor. The focal length of the lens does not change by using a smaller imaging area; the field of view is correspondingly smaller because a smaller area of the image circle cast by the lens is used by the smaller imaging area.",https://en.wikipedia.org/wiki/Crop_factor,1168641521
Food,Crop reports,"Crop reports are reports compiled by the National Agricultural Statistics Service (NASS) on various commodities that are released throughout the year.  Information in the reports includes estimates on planted acreage, yield, and expected production, as well as comparison of production from previous years.",https://en.wikipedia.org/wiki/Crop_reports,925246833
Food,Yield (wine),"In viticulture, the yield is a measure of the amount of grapes or wine that is produced per unit surface of vineyard, and is therefore a type of crop yield. Two different types of yield measures are commonly used, mass of grapes per vineyard surface, or volume of wine per vineyard surface.The yield is often seen as a quality factor, with lower yields associated with wines with more concentrated flavours, and the maximum allowed yield is therefore regulated for many wine appellations.",https://en.wikipedia.org/wiki/Yield_(wine),1110154464
Food,Plant breeding,"Plant breeding is the science of changing the traits of plants in order to produce desired characteristics. It has been used to improve the quality of nutrition in products for humans and animals. The goals of plant breeding are to produce crop varieties that boast unique and superior traits for a variety of applications. The most frequently addressed agricultural traits are those related to biotic and abiotic stress tolerance, grain or biomass yield, end-use quality characteristics such as taste or the concentrations of specific biological molecules (proteins, sugars, lipids, vitamins, fibers) and ease of processing (harvesting, milling, baking, malting, blending, etc.).Plant breeding can be performed through many different techniques ranging from simply selecting plants with desirable characteristics for propagation, to methods that make use of knowledge of genetics and chromosomes, to more complex molecular techniques. Genes in a plant are what determine what type of qualitative or quantitative traits it will have. Plant breeders strive to create a specific outcome of plants and potentially new plant varieties, and in the course of doing so, narrow down the genetic diversity of that variety to a specific few biotypes.It is practiced worldwide by individuals such as gardeners and farmers, and by professional plant breeders employed by organizations such as government institutions, universities, crop-specific industry associations or research centers. International development agencies believe that breeding new crops is important for ensuring food security by developing new varieties that are higher yielding, disease resistant, drought tolerant or regionally adapted to different environments and growing conditions.A recent study shows that without plant breeding, Europe would have produced 20% fewer arable crops over the last 20 years, consuming an additional 21.6 million hectares (53 million acres) of land and emitting 4 billion tonnes (3.9×109 long tons; 4.4×109 short tons) of carbon. Wheat species created for Morocco are currently being crossed with plants to create new varieties for northern France. Soy beans, which were previously grown predominantly in the south of France, are now grown in southern Germany.",https://en.wikipedia.org/wiki/Plant_breeding,1172197459
Food,Green Revolution,"The Green Revolution, also known as the Third Agricultural Revolution, was a period of technology transfer initiatives that saw greatly increased crop yields and agricultural production. These changes in agriculture began in developed countries in the early 20th Century and spread globally till the late 1980s. In the late 1960s, farmers began incorporating new technologies such as high-yielding varieties of cereals, particularly dwarf wheat and rice, and the widespread use of chemical fertilizers (to produce their high yields, the new seeds require far more fertilizer than traditional varieties), pesticides, and controlled irrigation. 
Agriculture also saw the adoption of newer methods of cultivation, including mechanization. These changes were often implemented as a package of practices meant to replace traditional agricultural technology. These costlier technologies were often provided in conjunction with loans that were conditional on policy changes being made by the developing nations adopting them, such as privatizing fertilizer manufacture and distribution that was formerly done through public channels.Both the Ford Foundation and the Rockefeller Foundation were heavily involved in its initial development in Mexico. One key leader was agricultural scientist Norman Borlaug, the ""Father of the Green Revolution"", who received the Nobel Peace Prize in 1970. He is credited with saving over a billion people from starvation. Another important scientific figure was Yuan Longping, whose work on hybrid rice varieties is credited with saving at least as many lives. The basic approach was the development of high-yielding varieties of cereal grains, expansion of irrigation infrastructure, modernization of management techniques, distribution of hybridized seeds, synthetic fertilizers, and pesticides to farmers. As crops began to reach the maximum improvement possible through selective breeding, genetic modification technologies were developed to allow for continued efforts.Recent research demonstrates that the Green Revolution is a major contributor to exceeded planetary boundaries, including increased greenhouse gas emissions",https://en.wikipedia.org/wiki/Green_Revolution,1177019411
Food,New Pokémon Snap,"New Pokémon Snap is an on-rails first-person photography game developed by Bandai Namco Studios and published by Nintendo and The Pokémon Company for the Nintendo Switch. It is a sequel to the 1999 Nintendo 64 game Pokémon Snap. Announced in June 2020, it was released on April 30, 2021. Players travel in the Lental region using an on-rails hovercraft and research Pokémon by photographing them.
Gameplay is similar to its Nintendo 64 predecessor, with the return of its island setting, the on-rails photography mechanic, unlockable stages, real-time interaction with the environment via unlockable items, and the ability to save photographs for later viewing. New Pokémon Snap's protagonist is guided by the Pokémon researcher Professor Mirror, who takes on the Professor Oak role from the first installment. Professor Mirror, who is joined by his assistants, offers not only the entire island for photography exploration, but also his research lab itself as an unlockable course.
New to this installment is the option to view courses at different stages of day, such as daytime and nighttime, which offer the player chances to capture different Pokémon and poses not offered in the standard course runs. The player can also access ""Illumia"" stages that allow the player to capture photos of Pokémon in their Illumia form, a new feature unique to Snap. Pokémon photo scores have also been expanded upon, with letter rankings added for an additional challenge. Certain courses may only be unlocked by achieving a baseline score, and capturing Pokémon in specific poses, recorded in a journal, results in additional bonuses.",https://en.wikipedia.org/wiki/New_Pok%C3%A9mon_Snap,1176500061
Food,History of plant breeding,"Plant breeding started with sedentary agriculture, particularly the domestication of the first agricultural plants, a practice which is estimated to date back 9,000 to 11,000 years. Initially, early human farmers selected food plants with particular desirable characteristics and used these as a seed source for subsequent generations, resulting in an accumulation of characteristics over time. In time however, experiments began with deliberate hybridization, the science and understanding of which was greatly enhanced by the work of Gregor Mendel. Mendel's work ultimately led to the new science of genetics. Modern plant breeding is applied genetics, but its scientific basis is broader, covering molecular biology, cytology, systematics, physiology, pathology, entomology, chemistry, and statistics (biometrics). It has also developed its own technology. Plant breeding efforts are divided into a number of different historical landmarks.",https://en.wikipedia.org/wiki/History_of_plant_breeding,1139410921
Food,Chicken,"The chicken (Gallus domesticus) is a domesticated species that arose from the red junglefowl, originally from India. They have also partially hybridized with other wild species of junglefowl (the grey junglefowl, Ceylon junglefowl, and green junglefowl). Rooster and cock are terms for adult male birds, and a younger male may be called a cockerel. A male that has been castrated is a capon. An adult female bird is called a hen, and a sexually immature female is called a pullet. Humans keep chickens primarily as a source of food (consuming both their meat and eggs) or as pets. Traditionally, they were also bred for cockfighting, which is still practiced in some places. Chickens domesticated for meat are broilers, and for eggs, they are layers.
Chickens are one of the most common and widespread domestic animals, with a total population of 23.7 billion as of 2018, up from more than 19 billion in 2011. There are more chickens in the world than any other bird. There are numerous cultural references to chickens—in myth, folklore, and religion, as well as in language and literature.
Genetic studies have pointed to multiple maternal origin theories within South Asia, Southeast Asia, and East Asia, but the clade found in the Americas, Europe, the Middle East, and Africa originated from the Indian subcontinent. From ancient India, the chicken spread to the Eastern Mediterranean. They appear in ancient Egypt in the mid-15th century BC, with the ""bird that gives birth every day"" having come from the land between Syria and Shinar, Babylonia, according to the annals of Thutmose III. They are known in ancient Greece from the 5th century BC.",https://en.wikipedia.org/wiki/Chicken,1172425563
Food,Residue-to-product ratio,"In climate engineering, the residue-to-product ratio (RPR) is used to calculate how much unused crop residue might be left after harvesting a particular crop. Also called the residue yield or straw/grain ratio, the equation takes the mass of residue divided by the mass of crop produced, and the result is dimensionless.The RPR can be used to project costs and benefits of bio-energy projects, and is crucial in determining financial sustainability. The RPR is particularly important for estimating the production of biochar, a beneficial farm input obtained from crop residues through pyrolysis. However, it is important to note that RPR values are rough estimates taken from broad production statistics, and can vary greatly depending on crop variety, climate, processing, and residual moisture content.",https://en.wikipedia.org/wiki/Residue-to-product_ratio,918794562
