Topic,Title,Summary,URL,Revision ID
Health,Common disease-common variant,"The common disease-common variant (often abbreviated CD-CV) hypothesis predicts that common disease-causing alleles, or variants, will be found in all human populations which manifest a given disease. Common variants (not necessarily disease-causing) are known to exist in coding and regulatory sequences of genes. According to the CD-CV hypothesis, some of those variants lead to susceptibility to complex polygenic diseases. Each variant at each gene influencing a complex disease will have a small additive or multiplicative effect on the disease phenotype. These diseases, or traits, are evolutionarily neutral in part because so many genes influence the traits. The hypothesis has held  in the case of putative causal variants in apolipoprotein E, including APOE ε4, associated with Alzheimer's disease. IL23R has been found to be associated with Crohn's disease; the at-risk allele has a frequency of 93% in the general population.
One common form of variation across human genomes is called a single nucleotide polymorphism (SNP). As indicated by the name, SNPs are single base changes in the DNA.  SNP variants tend to be common in different human populations. These polymorphisms have been valuable as genomic signposts, or ""markers"", in the search for common variants that influence susceptibility to common diseases.  Research has linked common SNPs to diseases such as type 2 diabetes, Alzheimer's, schizophrenia and hypertension.

",https://en.wikipedia.org/wiki/Common_disease-common_variant,1166952709
Health,Disease,"A disease is a particular abnormal condition that negatively affects the structure or function of all or part of an organism and is not immediately due to any external injury. Diseases are often known to be medical conditions that are associated with specific signs and symptoms. A disease may be caused by external factors such as pathogens or by internal dysfunctions. For example, internal dysfunctions of the immune system can produce a variety of different diseases, including various forms of immunodeficiency, hypersensitivity, allergies, and autoimmune disorders.
In humans, disease is often used more broadly to refer to any condition that causes pain, dysfunction, distress, social problems, or death to the person affected, or similar problems for those in contact with the person. In this broader sense, it sometimes includes injuries, disabilities, disorders, syndromes, infections, isolated symptoms, deviant behaviors, and atypical variations of structure and function, while in other contexts and for other purposes these may be considered distinguishable categories. Diseases can affect people not only physically but also mentally, as contracting and living with a disease can alter the affected person's perspective on life.
Death due to disease is called death by natural causes. There are four main types of disease: infectious diseases, deficiency diseases, hereditary diseases (including both genetic and non-genetic hereditary diseases), and physiological diseases. Diseases can also be classified in other ways, such as communicable versus non-communicable diseases. The deadliest diseases in humans are coronary artery disease (blood flow obstruction), followed by cerebrovascular disease and lower respiratory infections. In developed countries, the diseases that cause the most sickness overall are neuropsychiatric conditions, such as depression and anxiety.
The study of disease is called pathology, which includes the study of etiology, or cause.",https://en.wikipedia.org/wiki/Disease,1175105286
Health,List of causes of death by rate,"The following is a list of the causes of human deaths worldwide for different years arranged by their associated mortality rates. In 2002, there were about 57 million deaths. In 2005, according to the World Health Organization (WHO)  using the International Classification of Diseases (ICD), about 58 million people died. In 2010, according to the Institute for Health Metrics and Evaluation, 52.8 million people died. In 2016, the WHO recorded 56.7 million deaths with the leading cause of death as cardiovascular disease causing more than 17 million deaths (about 31% of the total) as shown in the chart to the side.
Some causes listed include deaths also included in more specific subordinate causes, and some causes are omitted, so the percentages may only sum approximately to 100%. The causes listed are relatively immediate medical causes, but the ultimate cause of death might be described differently.  For example, tobacco smoking often causes lung disease or cancer, and alcohol use disorder can cause liver failure or a motor vehicle accident. For statistics on preventable ultimate causes, see preventable causes of death.
Besides frequency, other measures to compare, consider and monitor trends of causes of deaths include disability-adjusted life year (DALY) and years of potential life lost (YPLL).

",https://en.wikipedia.org/wiki/List_of_causes_of_death_by_rate,1175647507
Health,Autoimmune disease,"An autoimmune disease is a condition that results from an anomalous response of the adaptive immune system, wherein it mistakenly targets and attacks healthy, functioning parts of the body as if they were foreign organisms. It is estimated that there are more than 80 recognized autoimmune diseases, with recent scientific evidence suggesting the existence of potentially more than 100 distinct conditions. Nearly any body part can be involved.Autoimmune diseases are a separate class from autoinflammatory diseases. Both are characterized by an immune system malfunction which may cause similar symptoms, such as rash, swelling, or, fatigue, but the cardinal cause or mechanism of the diseases are different. A key difference is a malfunction of the innate immune system in autoinflammatory diseases, whereas in autoimmune diseases there is a malfunction of the adaptive immune system. Symptoms of autoimmune diseases can significantly vary, primarily based on the specific type of the disease and the body part that it affects. Symptoms are often diverse and can be fleeting, fluctuating from mild to severe, and typically comprise low-grade fever, feeling tired, and general malaise. However, some autoimmune diseases may present with more specific symptoms such as joint pain, skin rashes (e.g., urticaria), or neurological symptoms.
The exact causes of autoimmune diseases remain unclear and are likely multifactorial, involving both genetic and environmental influences.  While some diseases like lupus exhibit familial aggregation, suggesting a genetic predisposition, other cases have been associated with infectious triggers or exposure to environmental factors, implying a complex interplay between genes and environment in their etiology. 
Some of the most common diseases that are generally categorized as autoimmune include celiac disease, type 1 diabetes, Graves' disease, inflammatory bowel diseases (such as Crohn's disease and ulcerative colitis), multiple sclerosis, alopecia areata, Addison's disease, pernicious anemia, psoriasis, rheumatoid arthritis, and systemic lupus erythematosus. Diagnosing autoimmune diseases can be challenging due to their diverse presentations and the transient nature of many symptoms.Treatment modalities for autoimmune diseases vary based on the type of disease and its severity.  Therapeutic approaches primarily aim to manage symptoms, reduce immune system activity, and maintain the body's ability to fight diseases. Nonsteroidal anti-inflammatory drugs (NSAIDs) and immunosuppressants are commonly used to reduce inflammation and control the overactive immune response. In certain cases, intravenous immunoglobulin may be administered to regulate the immune system. Despite these treatments often leading to symptom improvement, they usually do not offer a cure and long-term management is often required. In terms of prevalence, a UK study found that 10% of the population were affected by an autoimmune disease. Women are more commonly affected than men. Autoimmune diseases predominantly begin in adulthood, although they can start at any age. The initial recognition of autoimmune diseases dates back to the early 1900s, and since then, advancements in understanding and management of these conditions have been substantial, though much more is needed to fully unravel their complex etiology and pathophysiology.",https://en.wikipedia.org/wiki/Autoimmune_disease,1176751410
Health,Mangosteen,"Mangosteen (Garcinia mangostana), also known as the purple mangosteen, is a tropical evergreen tree with edible fruit native to tropical lands surrounding the Indian Ocean. Its origin is uncertain due to widespread prehistoric cultivation. It grows mainly in Southeast Asia, southwest India and other tropical areas such as Colombia and Puerto Rico, where the tree has been introduced.
The fruit of the mangosteen is sweet and tangy, juicy, somewhat fibrous, with fluid-filled vesicles (like the flesh of citrus fruits), with an inedible, deep reddish-purple colored rind (exocarp) when ripe. In each fruit, the fragrant edible flesh that surrounds each seed is botanically endocarp, i.e., the inner layer of the ovary. The seeds are of similar size and shape to almonds.
Genus Garcinia also contains several less-known fruit-bearing species, such as the button mangosteen (G. prainiana) and the charichuelo (G. madruno).",https://en.wikipedia.org/wiki/Mangosteen,1176702877
Health,Respiratory disease,"Respiratory diseases, or lung diseases, are pathological conditions affecting the organs and tissues that make gas exchange difficult in air-breathing animals. They include conditions of the respiratory tract including the  trachea, bronchi, bronchioles, alveoli, pleurae, pleural cavity, the nerves and muscles of respiration. Respiratory diseases range from mild and self-limiting, such as the common cold, influenza, and pharyngitis to life-threatening diseases such as bacterial pneumonia, pulmonary embolism, tuberculosis, acute asthma, lung cancer, and severe acute respiratory syndromes, such as COVID-19. Respiratory diseases can be classified in many different ways, including by the organ or tissue involved, by the type and pattern of associated signs and symptoms, or by the cause of the disease.
The study of respiratory disease is known as pulmonology. A physician who specializes in respiratory disease is known as a pulmonologist, a chest medicine specialist, a respiratory medicine specialist, a respirologist or a thoracic medicine specialist.",https://en.wikipedia.org/wiki/Respiratory_disease,1175315827
Health,First-degree relative,"A first-degree relative (FDR) is a person's parent (father or mother), full sibling (brother or sister) or child. It constitutes a category of family members that largely overlaps with the term nuclear family, but without spouses.If the persons are related by blood, the first degree relatives share approximately 50% of their genes. First-degree relatives are a common measure used to diagnose risks for common diseases by analyzing family history.",https://en.wikipedia.org/wiki/First-degree_relative,1168740125
Health,Saba banana,"Saba banana (pron. sah-BAH or sahb-AH), is a triploid hybrid (ABB) banana cultivar originating from the Philippines. It is primarily a cooking banana, though it can also be eaten raw. It is one of the most important banana varieties in Philippine cuisine. It is also sometimes known as the ""cardaba banana"", though the latter name is more correctly applied to the cardava, a very similar cultivar also classified within the saba subgroup.",https://en.wikipedia.org/wiki/Saba_banana,1158636649
Health,Endemism,"Endemism is the state of being a species found in a single defined geographic location, such as an island, state, nation, country or other defined zone; organisms that are indigenous to a place are not endemic to it if they are also found elsewhere. For example, the Cape sugarbird is found exclusively in southwestern South Africa and is therefore said to be endemic to that particular part of the world. An endemic species can also be referred to as an endemism or in scientific literature as an endemite.
The extreme opposite of an endemic species is one with a cosmopolitan distribution, having a global or widespread range.A rare alternative term for a species that is endemic is ""precinctive"", which applies to species (and other taxonomic levels) that are restricted to a defined geographical area. Other terms that sometimes are used interchangeably, but less often, include autochthonal, autochthonic, and indigenous, however, these terms do not reflect the status of a species that specifically belongs only to a determined place.",https://en.wikipedia.org/wiki/Endemism,1175952585
Health,Gastrointestinal disease,"Gastrointestinal diseases (abbrev. GI diseases or GI illnesses) refer to diseases involving the gastrointestinal tract, namely the esophagus, stomach, small intestine, large intestine and rectum, and the accessory organs of digestion, the liver, gallbladder, and pancreas.

",https://en.wikipedia.org/wiki/Gastrointestinal_disease,1175315926
Health,Dog health,"The health of dogs is a well studied area in veterinary medicine.
Dog health is viewed holistically; it encompasses many different aspects, including disease processes, genetics, and nutritional health, for example. Infectious diseases that affect dogs are important not only from a veterinary standpoint, but also because of the risk to public health; an example of this is rabies. Genetic disorders also affect dogs, often due to selective breeding to produce individual dog breeds. Due to the popularity of both commercial and homemade dog foods, nutrition is also a heavily studied subject.",https://en.wikipedia.org/wiki/Dog_health,1174698642
Health,List of dog diseases,"This list of dog diseases is a selection of diseases and other conditions found in the dog. Some of these diseases are unique to dogs or closely related species, while others are found in other animals, including humans. Not all of the articles listed here contain information specific to dogs. Articles with non-dog information are marked with an asterisk (*).",https://en.wikipedia.org/wiki/List_of_dog_diseases,1174691437
Health,Bronchitis,"Bronchitis is inflammation of the bronchi (large and medium-sized airways) in the lungs that causes coughing. Bronchitis usually begins as an infection in the nose, ears, throat, or sinuses. The infection then makes its way down to the bronchi. Symptoms include coughing up sputum, wheezing, shortness of breath, and chest pain. Bronchitis can be acute or chronic.Acute bronchitis usually has a cough that lasts around three weeks, and is also known as a chest cold. In more than 90% of cases the cause is a viral infection. These viruses may be spread through the air when people cough or by direct contact. A small number of cases are caused by a bacterial infection such as Mycoplasma pneumoniae or Bordetella pertussis. Risk factors include exposure to tobacco smoke, dust, and other air pollution. Treatment of acute bronchitis typically involves rest, paracetamol (acetaminophen), and nonsteroidal anti-inflammatory drugs (NSAIDs) to help with the fever.Chronic bronchitis is defined as a productive cough – one that produces sputum – that lasts for three months or more per year for at least two years. Many people with chronic bronchitis also have chronic obstructive pulmonary disease (COPD). Tobacco smoking is the most common cause, with a number of other factors such as air pollution and genetics playing a smaller role. Treatments include quitting smoking, vaccinations, rehabilitation, and often inhaled bronchodilators and steroids. Some people may benefit from long-term oxygen therapy.Acute bronchitis is one of the more common diseases. About 5% of adults and 6% of children have at least one episode a year. Acute bronchitis is the most common type of bronchitis. By contrast in the United States, in 2018, 9.3 million people were diagnosed with the less common chronic bronchitis.",https://en.wikipedia.org/wiki/Bronchitis,1174313469
