Topic,Title,Summary,URL,Revision ID
Politics,Election,"An election is a formal group decision-making process by which a population chooses an individual or multiple individuals to hold public office.
Elections have been the usual mechanism by which modern representative democracy has operated since the 17th century. Elections may fill offices in the legislature, sometimes in the executive and judiciary, and for regional and local government. This process is also used in many other private and business organisations, from clubs to voluntary associations and corporations.
The global use of elections as a tool for selecting representatives in modern representative democracies is in contrast with the practice in the democratic archetype, ancient Athens, where the elections were considered an oligarchic institution and most political offices were filled using sortition, also known as allotment, by which officeholders were chosen by lot.Electoral reform describes the process of introducing fair electoral systems where they are not in place, or improving the fairness or effectiveness of existing systems. Psephology is the study of results and other statistics relating to elections (especially with a view to predicting future results). Election is the fact of electing, or being elected.
To elect means ""to select or make a decision"", and so sometimes other forms of ballot such as referendums are referred to as elections, especially in the United States.",https://en.wikipedia.org/wiki/Election,1174997019
Politics,Politics,"Politics (from Ancient Greek  πολιτικά (politiká) 'affairs of the cities') is the set of activities that are associated with making decisions in groups, or other forms of power relations among individuals, such as the distribution of resources or status. The branch of social science that studies politics and government is referred to as political science.
It may be used positively in the context of a ""political solution"" which is compromising and nonviolent, or descriptively as ""the art or science of government"", but also often carries a negative connotation. The concept has been defined in various ways, and different approaches have fundamentally differing views on whether it should be used extensively or limitedly, empirically or normatively, and on whether conflict or co-operation is more essential to it.
A variety of methods are deployed in politics, which include promoting one's own political views among people, negotiation with other political subjects, making laws, and exercising internal and external force, including warfare against adversaries. Politics is exercised on a wide range of social levels, from clans and tribes of traditional societies, through modern local governments, companies and institutions up to sovereign states, to the international level.
In modern nation states, people often form political parties to represent their ideas. Members of a party often agree to take the same position on many issues and agree to support the same changes to law and the same leaders. An election is usually a competition between different parties.
A political system is a framework which defines acceptable political methods within a society. The history of political thought can be traced back to early antiquity, with seminal works such as Plato's Republic, Aristotle's Politics, Confucius's political manuscripts and Chanakya's Arthashastra.",https://en.wikipedia.org/wiki/Politics,1176973638
Politics,List of political parties in the United Kingdom,"The Electoral Commission's Register of Political Parties lists the details of political parties registered to fight elections in the United Kingdom, including their registered name. Under current electoral law, including the Registration of Political Parties Act 1998, the Electoral Administration Act 2006, and the Political Parties, Elections and Referendums Act 2000, only registered party names can be used on ballot papers by those wishing to fight elections. Candidates who do not belong to a registered party can use ""independent"" or no label at all. As of 2 August 2019, the Electoral Commission showed the number of registered political parties in Great Britain and Northern Ireland as 408.Before the middle of the 19th century, politics in the United Kingdom was dominated by the Whigs and the Tories. These were not political parties in the modern sense but somewhat loose alliances of interests and individuals. The Whigs included many of the leading aristocratic dynasties committed to the Protestant succession, and later drew support from elements of the emerging industrial interests and wealthy merchants, while the Tories were associated with the landed gentry, the Church of England and the Church of Scotland.
By the mid 19th century, the Tories had evolved into the Conservative Party, and the Whigs had evolved into the Liberal Party. The concept of right and left came originally from France, where the supporters of a monarchy (constitutional or absolute) sat on the right wing of the National Assembly, and republicans on the left. In the late 19th century, the Liberal Party began to lean towards the left. Liberal Unionists split off from the Liberals over Irish Home Rule and moved closer to the Conservatives over time.
The Liberals and Conservatives dominated the political scene until the 1920s, when the Liberal Party declined in popularity and suffered a long stream of resignations. It was replaced as the main anti-Tory opposition party by the newly emerging Labour Party, which represented an alliance between the labour movement, organised trades unions and various socialist societies.
Since then, the Conservative and Labour parties have dominated British politics, and have alternated in government ever since. However, the UK is not quite a two-party system as other parties have significant support. The Liberal Democrats were the third largest party until the 2015 general election when they were overtaken by the Scottish National Party in terms of seats and UK political party membership, and by the UK Independence Party (UKIP) in terms of votes.

The UK's first-past-the-post electoral system leaves small parties disadvantaged on a UK-wide scale. It can, however, allow parties with concentrations of supporters in the constituent countries to flourish. In the 2015 election, there was widespread controversy when the UK Independence Party (UKIP) and the Green Party of England and Wales received 4.9 million votes (12.6% of the total vote for UKIP and 3.8% for the Greens) yet only gained one seat each in the House of Commons. After that election, UKIP, the Liberal Democrats, the Scottish National Party, Plaid Cymru, and the Green Party of England and Wales, together with its Scottish and Northern Ireland affiliated parties, delivered a petition signed by 477,000 people to Downing Street demanding electoral reform.
Since 1997, proportional representation-based voting systems have been adopted for elections to the Scottish Parliament, the Senedd (Welsh Parliament), the Northern Ireland Assembly, the London Assembly and (until Brexit in 2020) the UK's seats in the European Parliament. In these bodies, other parties have had success.
Traditionally political parties have been private organisations with no official recognition by the state. The Registration of Political Parties Act 1998 changed that by creating a register of parties.
Membership of political parties has been in decline in the UK since the 1950s, falling by over 65% from 1983 (4% of the electorate) to 2005 (1.3%).",https://en.wikipedia.org/wiki/List_of_political_parties_in_the_United_Kingdom,1177026793
Politics,Political realignment,"A political realignment, often called a critical election, critical realignment, or realigning election, in the academic fields of political science and political history, is a set of sharp changes in party ideology, issues, party leaders, regional and demographic bases of power of political parties, and the structure or rules of the political system, such as voter eligibility or financing. The changes result in a new political power structure that lasts for decades, replacing an older dominant coalition. Scholars frequently invoke the concept in American elections and occasionally those of other countries. American examples include the 1896 United States presidential election, when the issues of the American Civil War political system were replaced with those of the Populist and Progressive Era, and the 1932 United States presidential election, when the Populist and Progressive Eras were replaced by the New Deal-era issues of New Deal liberalism and modern conservatism. Realigning elections typically separate (what are known in the field of comparative politics as) party systems—with 1828, for example, separating the First Party System and the Second Party System in the US. It is generally accepted that the United States has had five distinct party systems, each featuring two major parties attracting a consistent political coalition and following a consistent party ideology, separated by four realignments.
Political realignments can be sudden (1–4 years) or can take place more gradually (5–20 years). Most often, however, particularly in V. O. Key Jr.'s (1955) original hypothesis, it is a single ""critical election"" that marks a realignment. By contrast, a gradual process is called a secular realignment. Political scientists and historians often disagree about which elections are realignments and what defines a realignment, and even whether realignments occur. The terms themselves are somewhat arbitrary, however, and usage among political scientists and historians does vary. In the US, Walter Dean Burnham argued for a 30–38 year ""cycle"" of realignments. Many of the elections often included in the Burnham 38-year cycle are considered ""realigning"" for different reasons.
Other political scientists and quantitative elections analysts reject realignment theory altogether, arguing that there are no long-term patterns. Political scientist David R. Mayhew states, ""Electoral politics is to an important degree just one thing after another ... Elections and their underlying causes are not usefully sortable into generation-long spans ... It is a Rip Van Winkle view of democracy that voters come awake only once in a generation ... It is too slippery, too binary, too apocalyptic, and it has come to be too much of a dead end.""
Sean Trende, senior elections analyst at RealClearPolitics, who argues against realignment theory and the ""emerging Democratic majority"" thesis proposed by journalist John Judis and political scientist Ruy Teixeira in his 2012 book The Lost Majority states, ""Almost none of the theories propounded by realignment theorists has endured the test of time... It turns out that finding a 'realigning' election is a lot like finding an image of Jesus in a grilled-cheese sandwich – if you stare long enough and hard enough, you will eventually find what you are looking for."" In August 2013, Trende observed that U.S. presidential election results from 1880 through 2012 form a 0.96 correlation with the expected sets of outcomes (i.e. events) in the binomial distribution of a fair coin flip experiment. In May 2015, statistician and FiveThirtyEight editor-in-chief Nate Silver argued against a blue wall Electoral College advantage for the Democratic Party in the 2016 U.S. presidential election, and in post-election analysis, Silver cited Trende in noting that ""there are few if any permanent majorities"" and both Silver and Trende argued that the ""emerging Democratic majority"" thesis led most news coverage and commentary preceding the election to overstate Hillary Clinton's chances of being elected.",https://en.wikipedia.org/wiki/Political_realignment,1159308209
Politics,List of political parties in New Zealand,"New Zealand national politics have featured a pervasive party system since the early 20th century. Usually, all members of Parliament's unicameral House of Representatives belong to a political party. Independent MPs do not occur often.
While two major parties (namely Labour and National) have dominated the New Zealand national political landscape since the 1930s, the introduction of proportional representation in 1996 led to a multi-party system, such that smaller parties have substantial representation in Parliament and can now reasonably expect to gain seats in government. As of 2021, five parties have MPs in the 53rd Parliament.",https://en.wikipedia.org/wiki/List_of_political_parties_in_New_Zealand,1177077970
Politics,Political parties in the United States,"American electoral politics have been dominated by successive pairs of major political parties since shortly after the founding of the republic of the United States. Since the 1850s, the two largest political parties have been the Democratic Party and the Republican Party—which together have won every United States presidential election since 1852 and controlled the United States Congress since at least 1856. Despite keeping the same names, the two parties have evolved in terms of ideologies, positions, and support bases over their long lifespans, in response to social, cultural, and economic developments—the Democratic Party being the left-of-center party since the time of the New Deal, and the Republican Party now being the right-of-center party.
Political parties are not mentioned in the U.S. Constitution (which predates the party system). The two-party system is based on laws, party rules, and custom. Several third parties also operate in the U.S. and, from time to time, elect someone to local office.  Some of the larger ones include the Constitution, Green, Alliance, and Libertarian parties, with the latter being the largest third party since the 1980s. A small number of members of the US Congress, a larger number of political candidates, and a good many voters (35-45%) have no party affiliation. However, most self-described independents consistently support one of the two major parties when it comes time to vote, and members of Congress with no political party affiliation caucus meet to pursue common legislative objectives with either the Democrats or Republicans.The need to win popular support in a republic led to the American invention of voter-based political parties in the 1790s. Americans were especially innovative in devising new campaign techniques that linked public opinion with public policy through the party.
Political scientists and historians have divided the development of America's two-party system into six or so eras or ""party systems"", starting with the Federalist Party, which supported the ratification of the Constitution, and the Democratic-Republican Party or the Anti-Administration party (Anti-Federalists), which opposed a powerful central government.",https://en.wikipedia.org/wiki/Political_parties_in_the_United_States,1175976417
Politics,Political party,"A political party is an organization that coordinates candidates to compete in a particular country's elections. It is common for the members of a party to hold similar ideas about politics, and parties may promote specific ideological or policy goals.
Political parties have become a major part of the politics of almost every country, as modern party organizations developed and spread around the world over the last few centuries. It is extremely rare for a country to have no political parties. Some countries have only one political party while others have several. Parties are important in the politics of autocracies as well as democracies, though usually democracies have more political parties than autocracies. Autocracies often have a single party that governs the country, and some political scientists consider competition between two or more parties to be an essential part of democracy.
Parties can develop from existing divisions in society, like the divisions between lower and upper classes, and they streamline the process of making political decisions by encouraging their members to cooperate. Political parties usually include a party leader, who has primary responsibility for the activities of the party; party executives, who may select the leader and who perform administrative and organizational tasks; and party members, who may volunteer to help the party, donate money to it, and vote for its candidates. There are many different ways in which political parties can be structured and interact with the electorate. The contributions that citizens give to political parties are often regulated by law, and parties will sometimes govern in a way that favours the people who donate time and money to them.
Many political parties are motivated by ideological goals. It is common for democratic elections to feature competitions between liberal, conservative, and socialist parties; other common ideologies of very large political parties include communism, populism, nationalism, and Islamism. Political parties in different countries will often adopt similar colours and symbols to identify themselves with a particular ideology. However, many political parties have no ideological affiliation, and may instead be primarily engaged in patronage, clientelism, or the advancement of a specific political entrepreneur.

",https://en.wikipedia.org/wiki/Political_party,1177202261
Politics,Political apathy,"In political science, political apathy is a lack of interest or apathy towards politics. This includes political alienation, voter apathy, information apathy and lack of interest in elections, political events, public meetings, and voting. Voter apathy is a lack of interest among voters in the elections of representative democracies. Political apathy or lack of interest is often cited as a cause of low turnout among eligible voters in jurisdictions where voting is optional, and the donkey vote where voting is compulsory. This phenomenon occurs to some extent across all countries or entities where citizens are able to vote. Political apathy has led to increased concerns regarding representative democracies because election results do not encompass the entire population who are eligible to vote.
Political apathy is sometimes considered distinct from political alienation, ""the sense that voters feel like the political system does not work for them and any attempt to influence it will be a fruitless exercise."" Political alienation is adversely related to political efficacy, the voter's trust in their ability influence to politics. The most common electoral consequences of political alienation are abstention and protest voting.",https://en.wikipedia.org/wiki/Political_apathy,1175300444
Politics,Political campaign,"A political campaign is an organized effort which seeks to influence the decision making progress within a specific group. In democracies, political campaigns often refer to electoral campaigns, by which representatives are chosen or referendums are decided. In modern politics, the most high-profile political campaigns are focused on general elections and candidates for head of state or head of government, often a president or prime minister.

",https://en.wikipedia.org/wiki/Political_campaign,1174406949
Politics,List of political parties by region,"This page is a directory to various pages that will list political parties, from around the world, according to their respective regions. All of the pages linked from here include a table listing the sub-pages of countries/jurisdiction in the given region, showing which party system is dominant in each country.
A political party is a political organization subscribing to a certain ideology or formed around very special issues with the aim to participate in power, usually by participating in elections.  Individual parties are properly listed in separate articles under the page for each nation.

",https://en.wikipedia.org/wiki/List_of_political_parties_by_region,1075252579
