Topic,Title,Summary,URL,Revision ID
Technology,Emerging technologies,"Emerging technologies are technologies whose development, practical applications, or both are still largely unrealized. These technologies are generally new but also include older technologies finding new applications. Emerging technologies are often perceived as capable of changing the status quo.
Emerging technologies are characterized by radical novelty (in application even if not in origins), relatively fast growth, coherence, prominent impact, and uncertainty and ambiguity. In other words, an emerging technology can be defined as ""a radically novel and relatively fast growing technology characterised by a certain degree of coherence persisting over time and with the potential to exert a considerable impact on the socio-economic domain(s) which is observed in terms of the composition of actors, institutions and patterns of interactions among those, along with the associated knowledge production processes. Its most prominent impact, however, lies in the future and so in the emergence phase is still somewhat uncertain and ambiguous.""Emerging technologies include a variety of technologies such as educational technology, information technology, nanotechnology, biotechnology, robotics, and artificial intelligence.New technological fields may result from the technological convergence of different systems evolving towards similar goals. Convergence brings previously separate technologies such as voice (and telephony features), data (and productivity applications) and video together so that they share resources and interact with each other, creating new efficiencies.
Emerging technologies are those technical innovations which represent progressive developments within a field for competitive advantage; converging technologies represent previously distinct fields which are in some way moving towards stronger inter-connection and similar goals. However, the opinion on the degree of the impact, status and economic viability of several emerging and converging technologies varies.",https://en.wikipedia.org/wiki/Emerging_technologies,1168970572
Technology,List of emerging technologies,"This is a list of emerging technologies, in-development technical innovations with significant potential in their applications. The criteria for this list is that the technology must:

Exist in some way; purely hypothetical technologies cannot be considered emerging and should be covered in the list of hypothetical technologies instead. However, technologies being actively researched and prototyped are acceptable.
Have a Wikipedia article or adjacent citation covering them.
Not be widely used yet. Mainstream or extensively commercialized technologies can no longer be considered emerging.",https://en.wikipedia.org/wiki/List_of_emerging_technologies,1176998865
Technology,Institute for Ethics and Emerging Technologies,"The Institute for Ethics and Emerging Technologies (IEET) is a technoprogressive think tank that seeks to ""promote ideas about how technological progress can increase freedom, happiness, and human flourishing in democratic societies."" It was incorporated in the United States in 2004, as a non-profit 501(c)(3) organization, by philosopher Nick Bostrom and bioethicist James Hughes.The think tank aims to influence the development of public policies that distribute the benefits and reduce the risks of technological change. It has been described as ""[a]mong the more important groups"" in the transhumanist movement, and as being among the transhumanist groups that ""play a strong role in the academic arena"".The IEET works with Humanity Plus (also founded and chaired by Bostrom and Hughes, and previously known as the World Transhumanist Association), an international non-governmental organization with a similar mission but with an activist rather than academic approach. A number of technoprogressive thinkers are offered positions as IEET Fellows. Individuals who have accepted such appointments with the IEET support the institute's mission, but they have expressed a wide range of views about emerging technologies and not all identify themselves as transhumanists. In early October 2012, Kris Notaro became the managing director of the IEET after the previous Managing Director Hank Pellissier stepped down. In April 2016, Steven Umbrello became the managing director of the IEET. Marcelo Rinesi is the IEET's Chief Technology Officer.",https://en.wikipedia.org/wiki/Institute_for_Ethics_and_Emerging_Technologies,1171247754
Technology,Technology,"Technology is the application of knowledge for achieving practical goals in a reproducible way. The word technology can also mean the products resulting from such efforts,: 117  including both tangible tools such as utensils or machines, and intangible ones such as software. Technology plays a critical role in science, engineering, and everyday life.
Technological advancements have led to significant changes in society. The earliest known technology is the stone tool, used during prehistoric times, followed by the control of fire, which contributed to the growth of the human brain and the development of language during the Ice Age. The invention of the wheel in the Bronze Age allowed greater travel and the creation of more complex machines. More recent technological inventions, including the printing press, telephone, and the Internet, have lowered barriers to communication and ushered in the knowledge economy.
While technology contributes to economic development and improves human prosperity, it can also have negative impacts like pollution and resource depletion, and can cause social harms like technological unemployment resulting from automation. As a result, there are ongoing philosophical and political debates about the role and use of technology, the ethics of technology, and ways to mitigate its downsides.",https://en.wikipedia.org/wiki/Technology,1173659054
Technology,Future and Emerging Technologies,"The European Future and Emerging Technologies (FET) Flagship projects include the Graphene Flagship, Human Brain Project, Battery 2030+, and the Quantum technology Flagship.Other major projects proposed as part of the Future and Emerging Technologies competition include the Living Earth Simulator Project.  European Future and Emerging Technologies Flagship projects are funded through Horizon 2020. In August 2018, European Commission funds $3.5 Million to FET.",https://en.wikipedia.org/wiki/Future_and_Emerging_Technologies,1159755099
Technology,Center for Security and Emerging Technology,"The Center for Security and Emerging Technology (CSET) is a think tank dedicated to policy analysis at the intersection of national and international security and emerging technologies, based at Georgetown University's School of Foreign Service. CSET's founding director is the former director of the Intelligence Advanced Research Projects Activity, Jason Gaverick Matheny. Its current executive director is Dewey Murdick, former Chief Analytics Officer and Deputy Chief Scientist within the Department of Homeland Security.Established in January 2019, CSET has received more than $57,000,000 in funding from the Open Philanthropy Project, the William and Flora Hewlett Foundation and the Public Interest Technology University Network. 
Its mission is to study the security impacts of emerging technologies, support academic work in security and technology studies, and deliver nonpartisan analysis to the policy community. For its first two years, CSET plans to focus on the intersection of security and artificial intelligence (AI), particularly on national competitiveness, talent and knowledge flows and relationships with other technologies. CSET is the largest center in the U.S. focused on AI and policy.",https://en.wikipedia.org/wiki/Center_for_Security_and_Emerging_Technology,1176868889
Technology,Technology readiness level,"Technology readiness levels (TRLs) are a method for estimating the maturity of technologies during the acquisition phase of a program. TRLs enable consistent and uniform discussions of technical maturity across different types of technology. TRL is determined during a technology readiness assessment (TRA) that examines program concepts, technology requirements, and demonstrated technology capabilities. TRLs are based on a scale from 1 to 9 with 9 being the most mature technology.TRL was developed at NASA during the 1970s. The US Department of Defense has used the scale for procurement since the early 2000s. By 2008 the scale was also in use at the European Space Agency (ESA).
The European Commission advised EU-funded research and innovation projects to adopt the scale in 2010. TRLs were consequently used in 2014 in the EU Horizon 2020 program. In 2013, the TRL scale was further canonized by the International Organization for Standardization (ISO) with the publication of the ISO 16290:2013 standard.A comprehensive approach and discussion of TRLs has been published by the European Association of Research and Technology Organisations (EARTO). Extensive criticism of the adoption of TRL scale by the European Union was published in The Innovation Journal, stating that the ""concreteness and sophistication of the TRL scale gradually diminished as its usage spread outside its original context (space programs)"".",https://en.wikipedia.org/wiki/Technology_readiness_level,1169640728
Technology,MIT Program on Emerging Technologies,"The Program on Emerging Technologies (PoET) is a collaborative effort between the School of Engineering and the School of Humanities, Arts, and Social Sciences (SHASS) at the Massachusetts Institute of Technology.
According to the PoET website:
""Emerging technologies in areas such as ubiquitous computing, genetic engineering, and micro and nanotechnologies are developing at extraordinary rates. Understanding of the economic, security, environmental, and cultural implications of emerging technologies has not kept pace with underlying technological change. The Program on Emerging Technologies at MIT seeks to improve responses to emerging technologies by engaging early and explicitly with the pervasive uncertainty that is often under-recognized in technology assessment exercises.""PoET areas of research include planned adaptation in regulation.",https://en.wikipedia.org/wiki/MIT_Program_on_Emerging_Technologies,1176933989
Technology,Technology-critical element,"A technology-critical element (TCE) is a chemical element that is critical to modern and emerging technologies. Technology-critical elements are elements for which a striking acceleration in usage has emerged, relative to past consumption. Many advanced engineering applications, such as clean-energy production, communications and computing, use emergent technologies that utilize numerous chemical elements. Other similar terms used in literature include: critical elements, critical materials, critical raw materials, energy critical elements and elements of security.In 2013, the U.S. Department of Energy (DOE) created the Critical Materials Institute (CMI) to address the issue. In 2015, the European COST Action TD1407 created a network of scientists working and interested on TCEs, from an environmental perspective to potential human health threats.A study estimated losses of 61 metals to help the development of circular economy strategies, showing that usespans of, often scarce, tech-critical metals are short.",https://en.wikipedia.org/wiki/Technology-critical_element,1175010723
Technology,Food technology,"Food technology is a branch of food science that addresses the production, preservation, quality control and research and development of food products.
Early scientific research into food technology concentrated on food preservation. Nicolas Appert's development in 1810 of the canning process was a decisive event. The process wasn't called canning then and Appert did not really know the principle on which his process worked, but canning has had a major impact on food preservation techniques.
Louis Pasteur's research on the spoilage of wine and his description of how to avoid spoilage in 1864, was an early attempt to apply scientific knowledge to food handling. Besides research into wine spoilage, Pasteur researched the production of alcohol, vinegar, wines and beer, and the souring of milk. He developed pasteurization – the process of heating milk and milk products to destroy food spoilage and disease-producing organisms. In his research into food technology, Pasteur became the pioneer into bacteriology and of modern preventive medicine.",https://en.wikipedia.org/wiki/Food_technology,1172731021
